cycle_label,cycle_code,component,file_code,description,url,filename,selected_for_download,local_path,download_status,file_size_bytes
2021-August_2023,2021-2023,Laboratory,GHB_L,Glycohemoglobin GHB_L Doc GHB_L Data [XPT - 169.9 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/GHB_L.xpt,GHB_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Laboratory\GHB_L.xpt,downloaded,174000
2021-August_2023,2021-2023,Laboratory,GLU_L,Plasma Fasting Glucose GLU_L Doc GLU_L Data [XPT - 126.2 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/GLU_L.xpt,GLU_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Laboratory\GLU_L.xpt,downloaded,129200
2021-August_2023,2021-2023,Laboratory,HDL_L,Cholesterol – High-Density Lipoprotein HDL_L Doc HDL_L Data [XPT - 253.4 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/HDL_L.xpt,HDL_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Laboratory\HDL_L.xpt,downloaded,259520
2021-August_2023,2021-2023,Laboratory,TCHOL_L,Cholesterol - Total TCHOL_L Doc TCHOL_L Data [XPT - 253.4 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/TCHOL_L.xpt,TCHOL_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Laboratory\TCHOL_L.xpt,downloaded,259520
2021-August_2023,2021-2023,Laboratory,TRIGLY_L,Cholesterol - Low-Density Lipoproteins (LDL) & Triglycerides TRIGLY_L Doc TRIGLY_L Data [XPT - 314.3 KB] September 2025,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/TRIGLY_L.xpt,TRIGLY_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Laboratory\TRIGLY_L.xpt,downloaded,321840
2021-August_2023,2021-2023,Questionnaire,BPQ_L,Blood Pressure & Cholesterol BPQ_L Doc BPQ_L Data [XPT - 400.1 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/BPQ_L.xpt,BPQ_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\BPQ_L.xpt,downloaded,409680
2021-August_2023,2021-2023,Questionnaire,DPQ_L,Mental Health - Depression Screener DPQ_L Doc DPQ_L Data [XPT - 546.9 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/DPQ_L.xpt,DPQ_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\DPQ_L.xpt,downloaded,560000
2021-August_2023,2021-2023,Questionnaire,FNQ_L,Functioning FNQ_L Doc FNQ_L Data [XPT - 2.7 MB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/FNQ_L.xpt,FNQ_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\FNQ_L.xpt,downloaded,2806400
2021-August_2023,2021-2023,Questionnaire,MCQ_L,Medical Conditions MCQ_L Doc MCQ_L Data [XPT - 3.1 MB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/MCQ_L.xpt,MCQ_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\MCQ_L.xpt,downloaded,3294000
2021-August_2023,2021-2023,Questionnaire,PAQY_L,Physical Activity - Youth PAQY_L Doc PAQY_L Data [XPT - 43.8 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/PAQY_L.xpt,PAQY_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\PAQY_L.xpt,downloaded,44800
2021-August_2023,2021-2023,Questionnaire,PAQ_L,Physical Activity PAQ_L Doc PAQ_L Data [XPT - 399.9 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/PAQ_L.xpt,PAQ_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\PAQ_L.xpt,downloaded,409520
2021-August_2023,2021-2023,Questionnaire,RXQ_RX_L,Prescription Medications RXQ_RX_L Doc RXQ_RX_L Data [XPT - 280.9 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/RXQ_RX_L.xpt,RXQ_RX_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\RXQ_RX_L.xpt,downloaded,287600
2021-August_2023,2021-2023,Questionnaire,SMQFAM_L,Smoking - Household Smokers SMQFAM_L Doc SMQFAM_L Data [XPT - 280.9 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/SMQFAM_L.xpt,SMQFAM_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\SMQFAM_L.xpt,downloaded,287600
2021-August_2023,2021-2023,Questionnaire,SMQRTU_L,Smoking - Recent Tobacco Use SMQRTU_L Doc SMQRTU_L Data [XPT - 1.2 MB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/SMQRTU_L.xpt,SMQRTU_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\SMQRTU_L.xpt,downloaded,1213120
2021-August_2023,2021-2023,Questionnaire,SMQ_L,Smoking - Cigarette Use SMQ_L Doc SMQ_L Data [XPT - 635.9 KB] September 2024,https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2021/DataFiles/SMQ_L.xpt,SMQ_L.xpt,True,D:\47\472\New-Papers\Integrated Personalized Disability-Aware\Experiments\data_raw\2021-August_2023\Questionnaire\SMQ_L.xpt,downloaded,651120
